GiftId,TripId
1,2295
2,451
3,1446
4,1400
5,899
6,3552
7,510
8,4125
9,1568
10,1975
11,290
12,201
13,1490
14,1097
15,2837
16,2191
17,1692
18,1043
19,2194
20,4477
21,3571
22,2804
23,2013
24,2030
25,1688
26,4240
27,1283
28,4105
29,2901
30,2334
31,497
32,785
33,1829
34,4599
35,1941
36,4629
37,1987
38,4190
39,2063
40,472
41,4182
42,67
43,3046
44,995
45,1532
46,3717
47,2693
48,194
49,2418
50,4811
51,2369
52,2978
53,2299
54,940
55,2972
56,242
57,3260
58,4971
59,1679
60,2777
61,104
62,2494
63,3513
64,628
65,4901
66,2596
67,2406
68,4499
69,3881
70,2239
71,3826
72,3852
73,4694
74,3618
75,332
76,1147
77,2410
78,2382
79,4090
80,312
81,681
82,1701
83,1321
84,2828
85,1016
86,3971
87,86
88,3857
89,3192
90,198
91,2576
92,2115
93,2805
94,1826
95,1829
96,3899
97,3421
98,2190
99,162
100,960
101,176
102,3702
103,2193
104,3754
105,965
106,4075
107,2304
108,2990
109,2587
110,2978
111,3374
112,1576
113,2114
114,474
115,4061
116,2689
117,1189
118,1985
119,880
120,2326
121,234
122,3518
123,3289
124,2204
125,3869
126,172
127,1118
128,2045
129,3338
130,2446
131,2880
132,1805
133,3906
134,374
135,4759
136,2363
137,501
138,1428
139,3866
140,4716
141,471
142,1057
143,859
144,2130
145,2552
146,341
147,2279
148,989
149,1995
150,4760
151,4040
152,1610
153,3015
154,2839
155,489
156,3711
157,4963
158,2894
159,1121
160,4772
161,959
162,3986
163,4366
164,1008
165,490
166,2453
167,3545
168,4754
169,3665
170,752
171,127
172,4228
173,2127
174,4902
175,1626
176,1567
177,2951
178,4670
179,651
180,40
181,1945
182,595
183,1791
184,941
185,4456
186,4335
187,2572
188,4505
189,3891
190,3940
191,3866
192,2648
193,2630
194,3374
195,2605
196,1168
197,3104
198,3640
199,1373
200,852
201,4928
202,2975
203,2004
204,1297
205,669
206,1709
207,3408
208,1299
209,2564
210,1276
211,4627
212,4826
213,3322
214,1113
215,1797
216,3113
217,2387
218,4607
219,3410
220,4313
221,2906
222,851
223,240
224,3916
225,2374
226,2049
227,2899
228,1333
229,1612
230,59
231,34
232,3149
233,414
234,742
235,1031
236,1018
237,2780
238,4782
239,4486
240,3189
241,856
242,1738
243,374
244,3782
245,2567
246,2222
247,2742
248,3766
249,3078
250,3002
251,1146
252,4823
253,1156
254,4225
255,3291
256,3182
257,1806
258,1026
259,1978
260,2410
261,266
262,2416
263,3282
264,849
265,1978
266,909
267,287
268,3832
269,3806
270,681
271,1289
272,259
273,2698
274,3500
275,4499
276,3251
277,513
278,4591
279,708
280,3693
281,4107
282,2738
283,2363
284,366
285,88
286,492
287,3221
288,1045
289,4481
290,1131
291,3204
292,88
293,1942
294,3594
295,3060
296,1035
297,118
298,2696
299,1157
300,3673
301,2501
302,1093
303,1631
304,4366
305,617
306,2725
307,468
308,4486
309,4922
310,1588
311,283
312,2017
313,631
314,785
315,320
316,4093
317,4760
318,193
319,3835
320,4427
321,2460
322,3279
323,2408
324,2864
325,3029
326,4804
327,4444
328,1533
329,1861
330,746
331,4960
332,1558
333,1379
