GiftId,TripId
1,2804
2,6335
3,1487
4,1638
5,5084
6,3066
7,772
8,1855
9,298
10,6652
11,844
12,7046
13,7159
14,1308
15,3670
16,4796
17,5333
18,1216
19,7098
20,6639
21,5403
22,4151
23,1926
24,3207
25,4731
26,1642
27,3832
28,3919
29,1860
30,5009
31,4859
32,1411
33,6136
34,5065
35,2317
36,4054
37,1302
38,178
39,6663
40,5735
41,7457
42,6875
43,216
44,1246
45,7407
46,6118
47,3246
48,4886
49,1907
50,3760
51,6677
52,1356
53,7175
54,1483
55,4520
56,2448
57,5608
58,4800
59,1244
60,6542
61,6793
62,1228
63,1801
64,4401
65,5909
66,793
67,3885
68,1579
69,6251
70,288
71,6741
72,1516
73,7496
74,704
75,3139
76,894
77,2866
78,4690
79,5366
80,3023
81,682
82,2541
83,3886
84,2500
85,2757
86,4263
87,242
88,3647
89,1082
90,7387
91,4210
92,7302
93,6679
94,6316
95,6136
96,3435
97,3488
98,708
99,2843
100,5844
101,7413
102,5996
103,6629
104,399
105,6948
106,7356
107,2924
108,1237
109,6307
110,1356
111,4673
112,3190
113,1417
114,4878
115,6455
116,693
117,5836
118,1070
119,7442
120,5736
121,6950
122,5892
123,237
124,634
125,3819
126,6035
127,7392
128,6636
129,1230
130,29
131,835
132,1856
133,6868
134,4468
135,6304
136,3503
137,3495
138,4674
139,3136
140,5874
141,499
142,5195
143,1573
144,1306
145,73
146,292
147,3220
148,2916
149,7269
150,3964
151,2949
152,1370
153,480
154,1550
155,1593
156,3800
157,7017
158,193
159,1118
160,4226
161,6038
162,24
163,630
164,4081
165,1602
166,4867
167,2412
168,5855
169,1665
170,6738
171,1482
172,1012
173,5150
174,2442
175,7000
176,5379
177,2342
178,1384
179,4593
180,4864
181,1955
182,1686
183,5459
184,3845
185,58
186,196
187,6892
188,5713
189,941
190,6972
191,2537
192,6483
193,1737
194,4673
195,7026
196,4455
197,5832
198,4326
199,208
200,6900
201,1906
202,1474
203,2564
204,6489
205,2922
206,3738
207,5114
208,554
209,4323
210,3337
211,3499
212,1478
213,2709
214,3401
215,6002
216,3174
217,3516
218,687
219,48
220,2795
221,2206
222,6941
223,5205
224,6681
225,5325
226,5219
227,3163
228,7462
229,1134
